Monitor[clean-up-monitor] started
Failed to get deployment:  deployments.apps "throughput.test" not found
Monitor[clean-up-monitor] is exiting since stop trigger works
Monitor[clean-up-monitor] exited
All related pods are cleaned up
Starting throughput.test via scheduler yunikorn
Build KubeDeployment: {groupName:kubetest-group schedulerName:yunikorn queuePath:root.sandbox appName:throughput.test podNum:50000 resourceCPURequest:10m resourceMemRequest:10Mi resourceCPULimit:20m resourceMemLimit:20Mi}
Creating deployment...
Created deployment "throughput.test".
Monitor[throughput.test create-monitor] started
12:26:34 desired/created/ready replicas: 50000/50000/35128 
12:26:35 desired/created/ready replicas: 50000/50000/35206 
12:26:36 desired/created/ready replicas: 50000/50000/35323 
12:26:37 desired/created/ready replicas: 50000/50000/35363 
12:26:38 desired/created/ready replicas: 50000/50000/35471 
12:26:39 desired/created/ready replicas: 50000/50000/35546 
12:26:40 desired/created/ready replicas: 50000/50000/35674 
12:26:41 desired/created/ready replicas: 50000/50000/35801 
12:26:42 desired/created/ready replicas: 50000/50000/35865 
12:26:43 desired/created/ready replicas: 50000/50000/35983 
12:26:44 desired/created/ready replicas: 50000/50000/36031 
12:26:45 desired/created/ready replicas: 50000/50000/36161 
12:26:46 desired/created/ready replicas: 50000/50000/36275 
12:26:47 desired/created/ready replicas: 50000/50000/36341 
12:26:48 desired/created/ready replicas: 50000/50000/36440 
12:26:49 desired/created/ready replicas: 50000/50000/36558 
12:26:50 desired/created/ready replicas: 50000/50000/36673 
12:26:51 desired/created/ready replicas: 50000/50000/36753 
12:26:52 desired/created/ready replicas: 50000/50000/36892 
12:26:53 desired/created/ready replicas: 50000/50000/36920 
12:26:54 desired/created/ready replicas: 50000/50000/37066 
12:26:55 desired/created/ready replicas: 50000/50000/37169 
12:26:56 desired/created/ready replicas: 50000/50000/37243 
12:26:57 desired/created/ready replicas: 50000/50000/37357 
12:26:58 desired/created/ready replicas: 50000/50000/37469 
12:26:59 desired/created/ready replicas: 50000/50000/37538 
12:27:0 desired/created/ready replicas: 50000/50000/37643 
12:27:1 desired/created/ready replicas: 50000/50000/37771 
12:27:2 desired/created/ready replicas: 50000/50000/37870 
12:27:3 desired/created/ready replicas: 50000/50000/37936 
12:27:4 desired/created/ready replicas: 50000/50000/38106 
12:27:5 desired/created/ready replicas: 50000/50000/38229 
12:27:6 desired/created/ready replicas: 50000/50000/38358 
12:27:7 desired/created/ready replicas: 50000/50000/38444 
12:27:8 desired/created/ready replicas: 50000/50000/38541 
12:27:9 desired/created/ready replicas: 50000/50000/38628 
12:27:10 desired/created/ready replicas: 50000/50000/38717 
12:27:11 desired/created/ready replicas: 50000/50000/38825 
12:27:12 desired/created/ready replicas: 50000/50000/38947 
12:27:13 desired/created/ready replicas: 50000/50000/39106 
12:27:14 desired/created/ready replicas: 50000/50000/39151 
12:27:15 desired/created/ready replicas: 50000/50000/39291 
12:27:16 desired/created/ready replicas: 50000/50000/39411 
12:27:17 desired/created/ready replicas: 50000/50000/39525 
12:27:18 desired/created/ready replicas: 50000/50000/39649 
12:27:19 desired/created/ready replicas: 50000/50000/39751 
12:27:20 desired/created/ready replicas: 50000/50000/39897 
12:27:21 desired/created/ready replicas: 50000/50000/40015 
12:27:22 desired/created/ready replicas: 50000/50000/40127 
12:27:23 desired/created/ready replicas: 50000/50000/40246 
12:27:24 desired/created/ready replicas: 50000/50000/40351 
12:27:25 desired/created/ready replicas: 50000/50000/40478 
12:27:26 desired/created/ready replicas: 50000/50000/40588 
12:27:27 desired/created/ready replicas: 50000/50000/40729 
12:27:28 desired/created/ready replicas: 50000/50000/40863 
12:27:29 desired/created/ready replicas: 50000/50000/40984 
12:27:30 desired/created/ready replicas: 50000/50000/41074 
12:27:31 desired/created/ready replicas: 50000/50000/41229 
12:27:32 desired/created/ready replicas: 50000/50000/41342 
12:27:33 desired/created/ready replicas: 50000/50000/41474 
12:27:34 desired/created/ready replicas: 50000/50000/41611 
12:27:35 desired/created/ready replicas: 50000/50000/41742 
12:27:36 desired/created/ready replicas: 50000/50000/41867 
12:27:37 desired/created/ready replicas: 50000/50000/41995 
12:27:38 desired/created/ready replicas: 50000/50000/42117 
12:27:39 desired/created/ready replicas: 50000/50000/42235 
12:27:40 desired/created/ready replicas: 50000/50000/42398 
12:27:41 desired/created/ready replicas: 50000/50000/42486 
12:27:42 desired/created/ready replicas: 50000/50000/42653 
12:27:43 desired/created/ready replicas: 50000/50000/42784 
12:27:44 desired/created/ready replicas: 50000/50000/42966 
12:27:45 desired/created/ready replicas: 50000/50000/43056 
12:27:46 desired/created/ready replicas: 50000/50000/43248 
12:27:47 desired/created/ready replicas: 50000/50000/43414 
12:27:48 desired/created/ready replicas: 50000/50000/43508 
12:27:49 desired/created/ready replicas: 50000/50000/43675 
12:27:50 desired/created/ready replicas: 50000/50000/43734 
12:27:51 desired/created/ready replicas: 50000/50000/43894 
12:27:52 desired/created/ready replicas: 50000/50000/44046 
12:27:53 desired/created/ready replicas: 50000/50000/44236 
12:27:54 desired/created/ready replicas: 50000/50000/44372 
12:27:55 desired/created/ready replicas: 50000/50000/44495 
12:27:56 desired/created/ready replicas: 50000/50000/44679 
12:27:57 desired/created/ready replicas: 50000/50000/44821 
12:27:58 desired/created/ready replicas: 50000/50000/44979 
12:27:59 desired/created/ready replicas: 50000/50000/45093 
12:28:0 desired/created/ready replicas: 50000/50000/45267 
12:28:1 desired/created/ready replicas: 50000/50000/45436 
12:28:2 desired/created/ready replicas: 50000/50000/45608 
12:28:3 desired/created/ready replicas: 50000/50000/45747 
12:28:4 desired/created/ready replicas: 50000/50000/45967 
12:28:5 desired/created/ready replicas: 50000/50000/46146 
12:28:6 desired/created/ready replicas: 50000/50000/46296 
12:28:7 desired/created/ready replicas: 50000/50000/46445 
12:28:8 desired/created/ready replicas: 50000/50000/46626 
12:28:9 desired/created/ready replicas: 50000/50000/46799 
12:28:10 desired/created/ready replicas: 50000/50000/47003 
12:28:11 desired/created/ready replicas: 50000/50000/47087 
12:28:12 desired/created/ready replicas: 50000/50000/47306 
12:28:13 desired/created/ready replicas: 50000/50000/47490 
12:28:14 desired/created/ready replicas: 50000/50000/47745 
12:28:15 desired/created/ready replicas: 50000/50000/47949 
12:28:16 desired/created/ready replicas: 50000/50000/48059 
12:28:17 desired/created/ready replicas: 50000/50000/48269 
12:28:18 desired/created/ready replicas: 50000/50000/48479 
12:28:19 desired/created/ready replicas: 50000/50000/48684 
12:28:20 desired/created/ready replicas: 50000/50000/48881 
12:28:21 desired/created/ready replicas: 50000/50000/48998 
12:28:22 desired/created/ready replicas: 50000/50000/49217 
12:28:23 desired/created/ready replicas: 50000/50000/49507 
12:28:24 desired/created/ready replicas: 50000/50000/49675 
12:28:25 desired/created/ready replicas: 50000/50000/49913 
12:28:26 desired/created/ready replicas: 50000/50000/50000 
Monitor[throughput.test create-monitor] is exiting since stop trigger works
Monitor[throughput.test create-monitor] exited
